ingredient_id,ingredient
1,digestive biscuits
2,flour
3,milk
4,chicken
5,butter
6,mushrooms
7,aubergine
8,beef brisket
9,beef
10,olive oil
11,rapeseed oil
12,sausages
13,banana
14,hazlenuts
15,goose fat
16,onions
17,water
18,fennel
19,ricotta
20,potatoes
21,rice
22,minced beef
23,bacon
24,filo pastry
25,garlic
26,bread
27,beetroot
28,buckwheat
29,enchilada sauce
30,plain chocolate
31,salted butter
32,macaroni
33,cajun
34,chicken breasts
35,linguine pasta
36,clams
37,dark chocolate
38,chickpeas
39,chicken stock
40,vegetable oil
41,white flour
42,single cream
43,puff pastry
44,shortcrust pastry
45,kale
46,mars bar
47,tomatoes
48,cashews nuts
49,lentils
50,almond
51,orange
52,quinoa
53,cannellini beans
54,eggs plants
55,unsalted butter
56,toor dal
57,sea salt
58,strawberries
59,red snapper
60,floury potatoes
61,clotted cream
62,eggs
63,prawns
64,cream cheese
65,broad beans
66,haddock
67,sardines
68,fettuccine
69,raw king prawns
70,butter beans
71,cabbage
72,salmon
73,chocolate chips
74,selfraising flour
75,whole wheat
76,sushi rice
77,fries
78,smoked haddock
79,sake
80,yeast
81,brown lentils
82,lamb shoulder
83,sour cream
84,bulgur wheat
85,lamb
86,mozzarella balls
87,peanut
88,sunflower oil
89,cumin
90,tofu
91,goat meat
92,mulukhiyah
93,carrots
94,red chili
95,custard
96,coconut milk
97,veal
98,oxtail
99,rice stick noodles
100,spaghetti
101,pumpkin
102,corn flour
103,pears
104,tiger prawns
105,peanut butter
106,pork
107,miniature marshmallows
108,mackerel
109,kidney beans
110,baby aubergine
111,penne rigate
112,medjool dates
113,small potatoes
114,mussels
115,butternut squash
116,ham
117,brown sugar
118,canola oil
119,salt cod
120,herring
121,spring onions
122,green pepper
123,soy sauce
124,lemons
125,tahini
126,lamb mince
127,pork chops
128,green red lentils
129,roasted vegetables
130,double cream
131,udon noodles
132,caster sugar
133,oil
134,challots
135,chilled butter
136,english mustard
137,salt
138,broccoli
139,tomatoes sauce
140,beef shin
141,thyme
142,parsley
143,red onions
144,kielbasa
145,beef stock
146,beef stock concentrate
147,shredded monterey jack cheese
148,dark soft brown sugar
149,cayenne pepper
150,vinaigrette dressing
151,ginger
152,sugar snap peas
153,cacao
154,milk chocolate
155,dark brown soft sugar
156,icing sugar
157,bramley apple
158,demerara sugar
159,muscovado sugar
160,italian fennel sausages
161,pickle juice
162,minced pork
163,courgettes
164,breadcrumbs
165,bay leaves
166,sugar
167,leek
168,heavy cream
169,wood ear mushrooms
170,lamb loin chops
171,lime
172,mirin
173,doner meat
174,khus khus
175,chopped onions
176,prunes
177,baby plum tomatoes
178,coconut cream
179,chestnuts
180,paneer
181,chili
182,dark soy sauce
183,beef gravy
184,peanut cookies
185,beef fillets
186,white wine
187,red pepper
188,eggs yolks
189,harissa spice
190,pretzels
191,eggs white
192,blackberries
193,peas
194,ackee
195,avocado
196,white wine vinegar
197,apple
198,coriander
199,rice wine
200,paprika
201,green beans
202,lemon
203,parmesan
204,coconut sugar
205,rice vermicelli
206,duck legs
207,white chocolate chips
208,garlic cloves
209,sesame seeds oil
210,cold water
211,sultanas
212,celery
213,baking powder
214,shallots
215,pepper
216,sesame seeds burger buns
217,cinnamon stick
218,tomatoes puree
219,chicken stock cube
220,corn tortillas
221,golden syrup
222,white fish
223,bicarbonate of soda
224,braeburn apple
225,rice krispies
226,candied peel
227,grand marnier
228,lettuce
229,sesame seeds
230,meringue nests
231,semiskimmed milk
232,dry white wine
